Type,Text
Chant,No kings! No crowns!\n Power to the people now!
Chant,Books not bans!\n Knowledge for all lands!
Chant,No kings! No crowns!\n Freedom rising all around!
Chant,Not our voice! Not our choice!\n Hear the people raise their voice!
Chant,Whose Streets?\n Our Streets!
Chant,Show me what Democracy looks like.\n This is what Democracy looks like!
Chant,Love. Not hate.\n That’s what makes America great.
Chant,"When ___ is under attack, what do we do?\n Stand up, Fight back."
Chant,No Kings. No Crowns.\n We the people won’t back down.
Chant,Donald Trump is full of shit.\n He’s a white supremacist!
Chant,We are mad! We are pissed!\n Trump is on the Epstein list!
Chant,"No more ICE, no deportation!\n All are welcome in our nation!"
Chant,"One struggle, one fight!\n Immigrants’ rights are human rights!"
Chant,"Immigrants rights, trans rights,\n same struggle, same fight!"
Chant,No Tyrants! No Kings!\n These are not American things.
Chant,"Tiny hands, tiny feet,\n he's a pedophile we must impeach!"
Chant,"Ain't no power like the power of the people,\n 'cause the power of the people don't stop"
Chant,"One, two, three, four – we won't take it anymore!\n Five, six, seven, eight – organize, agitate!"
Chant,"No hate, No fear,\n ICE is not welcome here."
Chant,"Up, up with liberation!\n Down, down with deportation!"
Chant,"Every city, every town!\n Stop ICE, shut it down!"
Chant,"Not another nickel, not another dime!\n No more funding for ICE crimes!"
Chant,No hate. No fear.\n Immigrants are welcome here.
Chant,"If the people are united,\n The regime will be indicted!"
Chant,"When kings arise, we organize!"
Chant,No justice. No peace. No justice. No peace.\n If we don’t get no justice. You don’t get no peace.
Chant,No Trump. No ICE.\n No KKK. No fascist USA
Chant,Education not deportation!
Chant,"The people, united,\n will never be defeated. "
Chant,Chinga la migra
Song,“We Get There Together”\nby Joshua H. Blaine\n\nNo one is getting left behind this time\nNo one is getting left behind\nNo one is getting left behind this time\nWe get there together or never get there at all.\nWe get there together or never get there at all.\nWe get there together or never get there at all!
Song,"""This is for our Neighbors""\nby Lu Aya of the Peace Poets\n\nThis is for our people who are locked inside,\nTogether, we will\nAbolish ICE.\nThis is for our neighbors who are locked inside,\ntogether, we will\nAbolish ICE.\nThis is for our families who are locked inside,\nTogether, we will\nAbolish ICE.\nThis is for our children who are locked inside.\nTogether, we will\nAbolish ICE."
Song,"""No Están Solos""\nby survivors of ICE detention centers and the Peace Poets\n\nNo están solos,\nno están solas,\nhuntos hacemos,\nla Liberación! "
Song,"""Hold On""\nby Heidi Wilson\n\nHold on\nHold on\nMy dear ones, here comes the dawn."
Song,"""It’s Okay to Change your Mind""\nby Annie Schlaefer\n\nOhhh it’s okay to change your mind,\nshow us your courage,\nleave this behind.\nOhhhh it’s okay to change your mind,\nand you can join us,\njoin us here anytime. "
Song,"""We belong to each other""\nby Annie Schlaefer\n\nEveryone, oh everyone, oh every one\nof these people are ours,\njust like we are theirs.\nWe belong to them,\nand they belong to us. "
Song,"""We Keep Us Safe""\nby Peace Poets\nWho keeps us safe? We keep us safe. [Repeat]\n Our love for our people, will conquer hate"
Song,"""Abolish ICE""\nby Lu Aya + Peace Poets\nThis is for the families who are locked inside!\nTogether - we will - Abolish ICE."
