Group,Question,Correct,Incorrect1,Incorrect2,Incorrect3,Incorrect4,Response
1,New Example Q: What is 1+1?,2,1,3,4,4.3,"Example Response: Yay, you got it correct.  Please visit https://aaupcsu.org"
1,New Example Q: What is 2+1?,3,7,Fish,Bug,Pie,"Example Response: Yay, you got it correct.  Please visit https://aaupcsu.org"
1,New Example Q: What is 3+1?,4,7,Fish,Bug,Pie,"Example Response: Yay, you got it correct.  Please visit https://aaupcsu.org"
1,New Example Q: What is 4+1?,5,7,Fish,Bug,Pie,"Example Response: Yay, you got it correct.  Please visit https://aaupcsu.org"
2,New Example Q: What is 1+2?,3,1,3,4,4.3,"Example Response: Yay, you got it correct.  Please visit https://aaupcsu.org"
2,New Example Q: What is 2+2?,4,7,Fish,Bug,Pie,"Example Response: Yay, you got it correct.  Please visit https://aaupcsu.org"
2,New Example Q: What is 3+2?,5,7,Fish,Bug,Pie,"Example Response: Yay, you got it correct.  Please visit https://aaupcsu.org"
2,New Example Q: What is 4+2?,6,7,Fish,Bug,Pie,"Example Response: Yay, you got it correct.  Please visit https://aaupcsu.org"
3,New Example Q: What is 1+3?,4,1,3,4,4.3,"Example Response: Yay, you got it correct.  Please visit https://aaupcsu.org"
3,New Example Q: What is 2+3?,5,7,Fish,Bug,Pie,"Example Response: Yay, you got it correct.  Please visit https://aaupcsu.org"
3,New Example Q: What is 3+3?,6,7,Fish,Bug,Pie,"Example Response: Yay, you got it correct.  Please visit https://aaupcsu.org"
3,New Example Q: What is 4+3?,7,7,Fish,Bug,Pie,"Example Response: Yay, you got it correct.  Please visit https://aaupcsu.org"
