Link,Group,Description
https://aaupcsu.org/join-and-support/,AAUP-CSU,Website to join or support AAUP-CSU.
https://aaupcsu.org/*,AAUP-CSU,AAUP-CSU website.
Notesofdissent.org,Notes of Dissent,Notes of Dissent website
https://pflagfortcollins.org/membership/,PFLAG,Become a member of PFLAG Fort Collins
paypal.com/paypalme/membership4,PFLAG,Donate to PFLAG Fort Collins via PayPal
https://pflagfortcollins.org/donate/,PFLAG,General Donate link for PFLAG Fort Collins
https://account.venmo.com/u/pflagfortcollins,PFLAG,Donate to PFLAG Fort Collins via Venmo
https://pflagfortcollins.org/volunteer/,PFLAG,Volunteer with PFLAG Fort Collins
https://pflagfortcollins.org/join-board/,PFLAG,Join the PFLAG Fort Collins Board of Directors
https://mailchi.mp/cab996df44e5/pflag-fortcollins-newsletter,PFLAG,PFLAG Newsletter signup
https://pflagfortcollins.org/events-calendar/,PFLAG,PFLAG Upcoming Events Calendar
https://secure.foodbanklarimer.org/site/Donation2;jsessionid=00000000.app20026b?1400.donation=form1&df_id=1400&mfc_pref=T&NONCE_TOKEN=AC213B0564B70690FCDAF46693BB10F3,Larimer County Food Bank,Donation Page for Larimer County Foodbank
