link,message,postClickMessage,imageSet,email,Group
https://stemira.org,Visit the STEM Interdisciplinary Rams Alliance Booth to fill out a postcard to protect the TRIO program. https://stemira.org,Visit the STEM Interdisciplinary Rams Alliance Booth to fill out a postcard to protect the TRIO program. https://stemira.org,stemira,Stem_ira@colostate.edu,STEM Interdisciplinary Rams Alliance
https://aaupcsu.org,"Visit the AAUP-CSU Booth to complete a postcard asking the Colorado State System Board of Governors to respect shared governance and support our faculty, staff, and students! Visit www.aaupcsu.org for more information.","Visit the AAUP-CSU Booth to complete a postcard asking the Colorado State System Board of Governors to respect shared governance and support our faculty, staff, and students! Visit https://aaupcsu.org for more information.",aaup,aaupcsu@gmail.com,American Association of University Professors - CSU
https://www.lwv-larimercounty.org/  ,Visit the League of Women Voters table and check your voter registration. Learn more about our current efforts at https://www.lwv-larimercounty.org/  ,Thank you for visiting the League of Women Voters table. Learn more about our efforts at https://www.lwv-larimercounty.org/  ,lwv,jtorreyschultz@gmail.com,"League of Women Voters, Larmier County"
https://SplashNoCo.org,Visit the SPLASH table and sign up for our newsletter OR make a donation to local LGBTQIA+ youth. Learn more at: https://SplashNoCo.org.,Thank you for visiting the SPASH table! Visit us any time at: https://SplashNoCo.org.,splash,kimberly@splashnoco.org,SPLASH NoCo
https://pflagfortcollins.org,"Visit the PFLAG Fort Collins table to learn about our mission to create a caring, just and affirming world for LGBTQ+ people and those who love them. https://pflagfortcollins.org","We would love to have you come alongside us to make a difference for our LGBTQ+ loved ones! Visit https://pflagfortcollins.org to volunteer, donate and/or become a member.",pflag,president@pflagfortcollins.org,PFLAG Fort Collins
https://www.podernoco.com/,PODER is organizing our community to defend people facing deportation in Northern Colorado. Stop by our table to learn more or make a donation to support local immigrant legal defense. Learn more at https://podernoco.com/,Thank you for visiting the PODER table to learn more or make a donation to support local immigrant legal defense. Learn more at https://podernoco.com/,poder,info@podernoco.com,PODER
https://www.notesofdissent.org/,"If you are interested in MAKING SOME NOISE with us, reach out! It doesn't matter if you:  *Still play regularly *Haven't touched your instrument since high school *Can’t march *Don’t have an instrument! If you want to join us, we’re excited to have you! Loaner instruments available. https://www.notesofdissent.org/",Mission: To amplify the voices of marginalized communities and activist organizations in the fight against fascism and government oppression. Wanna dust off your old instrument and help us fight fascism with music? Check out our website for rehearsal schedules and Discord discussion. https://notesofdissent.org/contact,nodmb,alexandra.valtakis@gmail.com,Notes of Dissent
https://NoCo4Palestine.com,Come to the NoCo4Palestine and Jewish Voice for Peace table to learn how you can help build local solidarity for Palestine and support local businesses to do the same. https://NoCo4Palestine.com and  https://www.instagram.com/noco.jvp/,Thank you for visiting the NoCo4Palestine and Jewish Voice for Peace table. Visit https://NoCo4Palestine.com and https://www.instagram.com/noco.jvp/ to support efforts to build local solidarity for Palestine and to support local businesses that do the same.,noco4p,noco4palestine@proton.me,NoCo4Palestine
https://treeswaterpeople.org/,"Come visit the Trees, Water, People booth to learn more about our emissions reduction program! With a simple subscription you can offset your household carbon footprint and help improve the health of families in Central America with our Clean Cookstoves project. https://treeswaterpeople.org/",Thank you for visiting the Trees Water People table. Check out our carbon offset program at https://twp.org/untonne,twp,henry@twp.org,Trees Water People
https://momsdemandaction.org/about/chapters/,Visit the Moms Demand Action table to learn about joining the movement to stop gun violence and create safer communities! Not just for moms - anyone welcome! https://momsdemandaction.org/about/chapters/,Thank you for visiting Mons Demand action.  Visit us online at https://momsdemandaction.org/about/chapters/ to learn more about our efforts to stop gun violence in our communitiy.,mda,lizbennett.co@gmail.com,Moms Demand Action
https://aflcio.org/, Visit the AFL-CIO table and learn more about our efforts to engage with CO state legislature to remove obstacles that prevent unions from supporting Colorado workers. Learn more at https://aflcio.org/,Thank you for visiting the AFL-CIO table. Make sure to write to Gov. Polis and your state representative and ask them to support bill HB26-1005 to remove unnecessary barriers to worker protections and collective bargaining in Colorado. Learn more at https://aflcio.org/,aflcio,KCAFFREY98@AOL.COM,AFL-CIO
https://protectcoloradosfuture.com/,Visit the Protect Colorado's Future table. https://protectcoloradosfuture.com/,Thank you for visiting the Protect Colorado's Future table. https://protectcoloradosfuture.com/,pcf,djanderson17@gmail.com,Protect Colorado's Future
Planned Parenthood,Visit the Planned Parenthood of the Rocky Mountains table and sign up for our newsleter. ,Thank you for visiting the Planned Parenthood of the Rocky Mountains table.,pp,gerardo.avellaneda@pprm.org,Planned Parenthood of the Rocky Mountains
Postcards,Come to the Postcards and Tea table and pick up a postcard writing packet. ,Thank you for visiting the Postcards and Tea table!,pct,Pahill323@gmail.com,Postcards and Tea
IndivisibleNoCo,Come to the IndivisibleNoCo Table and join our newsletter.,Thank you for visiting IndivisibleNoCo.,indnoco,none,IndivisibleNoCo
https://dsafc.org/,Visit the DSA booth and follow us on instagram.   https://www.instagram.com/dsafortcollins?igsh=MWNlMWozdjQ1eHNiNQ==,Thank you for visiting the DSA table.  Please follow us on Instagram. https://www.instagram.com/dsafortcollins?igsh=MWNlMWozdjQ1eHNiNQ==,dsa,Johnhramstead@gmail.com,DSA Fort Collins
