Type,Text
Chant,No kings! No crowns!\n Power to the people now!
Chant,Books not bans!\n Knowledge for all lands!
Chant,No kings! No crowns!\n Freedom rising all around!
Chant,Not our voice! Not our choice!\n Hear the people raise their voice!
Chant,Whose Streets?\n Our Streets!
Chant,Show me what Democracy looks like.\n This is what Democracy looks like!
Chant,Love. Not hate. That’s what makes America great.
Chant,"When ___ is under attack, what do we do?\n Stand up, Fight back."
Chant,No Kings. No Crowns.\n We the people won’t back down.
Chant,Donald Trump is full of shit.\n He’s a white supremacist!
Chant,We are mad! We are pissed!\n Trump is on the Epstein list!
Chant,"No more ICE, no deportation!\n All are welcome in our nation!"
Chant,"One struggle, one fight!\n Immigrants’ rights are human rights!"
Chant,"Immigrants rights, trans rights, same struggle, same fight!"
Chant,No Tyrants! No Kings! These are not American things.
Chant,"Tiny hands, tiny feet, he's a pedophile we must impeach!"
Chant,AIN'T NO POWER LIKE THE POWER OF THE PEOPLE\n 'CAUSE THE POWER OF THE PEOPLE DON'T STOP
Chant,"One, two, three, four – WE WON’T TAKE IT ANYMORE\n Five, six, seven, eight – ORGANIZE, AGITATE"
Chant,"NO HATE, NO FEAR,\n ICE YOU ARE NOT WELCOME HERE!"
Chant,"Up, up with liberation!\n Down, down with deportation!"
Chant,"Every city, every town!\n STOP ICE, shut it down!"
Chant,"Not another nickel, not another dime!\n No more funding for ICE crimes!"
Chant,No hate. No fear.\n Immigrants are welcome here.
Chant,"If the people are united,\n The regime will be indicted!"
Chant,"When kings arise, we organize!"
Chant,No justice. No peace. No justice. No peace.\n If we don’t get no justice. You don’t get no peace.
Chant,No Trump. No KKK. No fascist USA
Chant,"YOU CAN'T CONTROL US\n WE GOT THE POWER-\n IF YOU CAN'T HEAR US, WE'LL SAY IT LOUDER!"
Chant,Education not deportation!
Chant,The people. United. Will never be defeated. 
Chant,Chinga la migra
Song,“We Get There Together”\nby Joshua H. Blaine\n\nNo one is getting left behind this time\nNo one is getting left behind\nNo one is getting left behind this time\nWe get there together or never get there at all.\nWe get there together or never get there at all.\nWe get there together or never get there at all!
Song,"""This is for our Neighbors""\nby Lu Aya of the Peace Poets\n\nThis is for our people who are locked inside,\nTogether, we will\nAbolish ICE.\nThis is for our neighbors who are locked inside,\ntogether, we will\nAbolish ICE.\nThis is for our families who are locked inside,\nTogether, we will\nAbolish ICE.\nThis is for our children who are locked inside.\nTogether, we will\nAbolish ICE."
Song,"""No Están Solos""\nby survivors of ICE detention centers and the Peace Poets\n\nNo están solos,\nno están solas,\nhuntos hacemos,\nla Liberación! "
Song,"""Hold On""\nby Heidi Wilson\n\nHold on\nHold on\nMy dear ones, here comes the dawn."
Song,"""It’s Okay to Change your Mind""\nby Annie Schlaefer\n\nOhhh it’s okay to change your mind,\nshow us your courage,\nleave this behind.\nOhhhh it’s okay to change your mind,\nand you can join us,\njoin us here anytime. "
Song,"""We belong to each other""\nby Annie Schlaefer\n\nEveryone, oh everyone, oh every one\nof these people are ours,\njust like we are theirs.\nWe belong to them,\nand they belong to us. "
